Block,Butterfly side,Delay,Butterfly Number,Num trials,Question Number,Angle
1,up,0,67,6,888,0
1,center,0,69,6,888,0
1,down,0,68,6,888,0
1,up,0,67,3,888,0.1583
1,center,0,69,3,888,0.1583
1,down,0,68,3,888,0.1583
1,up,0,67,3,888,-0.1583
1,center,0,69,3,888,-0.1583
1,down,0,68,3,888,-0.1583
1,up,0,67,3,888,0.2125
1,center,0,69,3,888,0.2125
1,down,0,68,3,888,0.2125
1,up,0,67,3,888,-0.2125
1,center,0,69,3,888,-0.2125
1,down,0,68,3,888,-0.2125
1,up,0,67,3,888,0.2679
1,center,0,69,3,888,0.2679
1,down,0,68,3,888,0.2679
1,up,0,67,3,888,-0.2679
1,center,0,69,3,888,-0.2679
1,down,0,68,3,888,-0.2679
